Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21
2020,2024,30581,923.0,0.030182139236781008,117011325,Sydney Airport,New South Wales
2020,2025,31584,1145.0,0.036252532928064844,117011325,Sydney Airport,New South Wales
2021,2021,7881,39.0,0.0049486105824134,118011345,Paddington - Moore Park,New South Wales
2021,2022,7818,64.0,0.008186236889229983,118011345,Paddington - Moore Park,New South Wales
2021,2023,7757,114.0,0.014696403248678613,118011345,Paddington - Moore Park,New South Wales
2021,2024,7830,178.0,0.0227330779054917,118011345,Paddington - Moore Park,New South Wales
2021,2025,7689,243.0,0.03160358954350371,118011345,Paddington - Moore Park,New South Wales
2022,2021,6600,33.0,0.005,118011341,Bondi Junction - Waverly,New South Wales
2022,2022,6742,44.0,0.006526253337288638,118011341,Bondi Junction - Waverly,New South Wales
2022,2023,6864,79.0,0.01150932400932401,118011341,Bondi Junction - Waverly,New South Wales
2022,2024,6919,141.0,0.020378667437490967,118011341,Bondi Junction - Waverly,New South Wales
2022,2025,6920,213.0,0.030780346820809247,118011341,Bondi Junction - Waverly,New South Wales
2023,2021,6188,57.0,0.009211376858435682,118011649,Bellevue Hill,New South Wales
2023,2022,6105,95.0,0.015561015561015561,118011649,Bellevue Hill,New South Wales
2023,2023,6102,148.0,0.024254342838413635,118011649,Bellevue Hill,New South Wales
2023,2024,6259,229.0,0.03658731426745487,118011649,Bellevue Hill,New South Wales
2023,2025,6334,323.0,0.05099463214398484,118011649,Bellevue Hill,New South Wales
2024,2021,6002,39.0,0.006497834055314895,118011339,Bondi - Tamarama - Bronte,New South Wales
2024,2022,5982,59.0,0.00986292209963223,118011339,Bondi - Tamarama - Bronte,New South Wales
2024,2023,5923,89.0,0.015026169171028196,118011339,Bondi - Tamarama - Bronte,New South Wales
2024,2024,5979,148.0,0.024753303227964544,118011339,Bondi - Tamarama - Bronte,New South Wales
2024,2025,6045,210.0,0.034739454094292806,118011339,Bondi - Tamarama - Bronte,New South Wales
2025,2021,4139,38.0,0.009180961584923895,118011347,Woollahra,New South Wales
2025,2022,4119,54.0,0.013109978150036417,118011347,Woollahra,New South Wales
2025,2023,4033,81.0,0.020084304487974214,118011347,Woollahra,New South Wales
2025,2024,4047,135.0,0.033358042994810974,118011347,Woollahra,New South Wales
2025,2025,4051,169.0,0.04171809429770427,118011347,Woollahra,New South Wales
2026,2021,16260,57.0,0.0035055350553505533,118011340,Bondi Beach - North Bondi,New South Wales
2026,2022,16184,116.0,0.007167572911517549,118011340,Bondi Beach - North Bondi,New South Wales
2026,2023,16166,207.0,0.01280465173821601,118011340,Bondi Beach - North Bondi,New South Wales
2026,2024,16419,361.0,0.021986722699311772,118011340,Bondi Beach - North Bondi,New South Wales
2026,2025,16303,509.0,0.031221247623136845,118011340,Bondi Beach - North Bondi,New South Wales
2027,2021,4959,33.0,0.006654567453115548,118011650,Double Bay - Darling Point,New South Wales
2027,2022,4887,59.0,0.012072846326989973,118011650,Double Bay - Darling Point,New South Wales
2027,2023,4790,92.0,0.019206680584551147,118011650,Double Bay - Darling Point,New South Wales
2027,2024,4823,136.0,0.02819821687746216,118011650,Double Bay - Darling Point,New South Wales
2027,2025,4803,181.0,0.03768478034561732,118011650,Double Bay - Darling Point,New South Wales
2028,2021,3052,17.0,0.005570117955439056,118011650,Double Bay - Darling Point,New South Wales
2028,2022,3049,30.0,0.009839291571006888,118011650,Double Bay - Darling Point,New South Wales
2028,2023,3047,51.0,0.016737774860518542,118011650,Double Bay - Darling Point,New South Wales
2028,2024,3014,84.0,0.027869940278699403,118011650,Double Bay - Darling Point,New South Wales
2028,2025,3029,101.0,0.03334433806536811,118011650,Double Bay - Darling Point,New South Wales
2029,2021,5829,37.0,0.006347572482415509,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2029,2022,5875,55.0,0.009361702127659575,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2029,2023,5906,83.0,0.014053504910260752,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2029,2024,6016,151.0,0.025099734042553192,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2029,2025,6001,209.0,0.034827528745209134,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2030,2021,9602,112.0,0.011664236617371381,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2030,2022,9408,179.0,0.019026360544217687,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2030,2023,9457,253.0,0.026752669979909063,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2030,2024,9566,369.0,0.038574116663182105,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2030,2025,9493,495.0,0.05214368482039398,118011346,Rose Bay - Vaucluse - Watsons Bay,New South Wales
2031,2021,16869,42.0,0.002489774141917126,118021570,Randwick - South,New South Wales
2031,2022,17037,85.0,0.004989141280741915,118021570,Randwick - South,New South Wales
2031,2023,17036,151.0,0.008863583000704391,118021570,Randwick - South,New South Wales
2031,2024,17148,291.0,0.016969909027291813,118021570,Randwick - South,New South Wales
2031,2025,17352,426.0,0.02455048409405256,118021570,Randwick - South,New South Wales
2032,2021,6234,7.0,0.001122874558870709,117011323,Pagewood - Hillsdale - Daceyville,New South Wales
2032,2022,6638,19.0,0.002862307924073516,117011323,Pagewood - Hillsdale - Daceyville,New South Wales
2032,2023,6769,34.0,0.005022898507903679,117011323,Pagewood - Hillsdale - Daceyville,New South Wales
2032,2024,6767,82.0,0.012117629673415103,117011323,Pagewood - Hillsdale - Daceyville,New South Wales
2032,2025,6509,115.0,0.0176678445229682,117011323,Pagewood - Hillsdale - Daceyville,New South Wales
2033,2021,5084,14.0,0.0027537372147915028,118021564,Kensington (NSW),New South Wales
2033,2022,5221,22.0,0.004213752154759625,118021564,Kensington (NSW),New South Wales
2033,2023,5263,36.0,0.006840205206156184,118021564,Kensington (NSW),New South Wales
2033,2024,5303,81.0,0.015274372996417122,118021564,Kensington (NSW),New South Wales
2033,2025,5217,117.0,0.022426682001150087,118021564,Kensington (NSW),New South Wales
2034,2021,10914,38.0,0.0034817665383910573,118021651,Coogee - Clovelly,New South Wales
2034,2022,10886,67.0,0.0061546941025169945,118021651,Coogee - Clovelly,New South Wales
2034,2023,10773,106.0,0.009839413348185277,118021651,Coogee - Clovelly,New South Wales
2034,2024,11016,206.0,0.01870007262164125,118021651,Coogee - Clovelly,New South Wales
2034,2025,10883,275.0,0.025268767802995497,118021651,Coogee - Clovelly,New South Wales
2035,2021,19210,36.0,0.0018740239458615304,118021568,Maroubra - West,New South Wales
2035,2022,19215,59.0,0.0030705178246161853,118021568,Maroubra - West,New South Wales
