Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21,SA3_NAME21,SA4_NAME21,GCC_NAME21,AREASQKM21,incentive_aud,charger_stations,total_plugs,ac_stations,dc_stations,has_dc_charger,max_power_kw,has_charging_data,nsw_comprehensive_data,median_income_weekly,median_age,apartment_ratio,total_dwellings,bev_count_lag1,adoption_rate_lag1,bev_growth_rate,plugs_per_1000_vehicles,fleet_density
0836,2024,7382,16.0,0.002167434299647792,701031032,Humpty Doo,Northern Territory,Litchfield,Darwin,Greater Darwin,157.4161,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2569.0,39,0.002287457110179184,2623,4.0,0.0005574912891986063,2.857142857142857,0.0,46.8948220671202
0836,2025,7405,25.0,0.00337609723160027,701031032,Humpty Doo,Northern Territory,Litchfield,Darwin,Greater Darwin,157.4161,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2569.0,39,0.002287457110179184,2623,16.0,0.002167434299647792,0.5625,0.0,47.04093164549242
0837,2021,476,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.33790304610367616
0837,2022,468,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.33222400331201773
0837,2023,457,3.0,0.006564551422319475,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.3244153194734874
0837,2024,431,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,3.0,0.006564551422319475,-1.0,0.0,0.30595843040059756
0837,2025,419,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.2974398662131099
0838,2021,809,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.574293202306458
0838,2022,830,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.5892006896345614
0838,2023,847,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.6012686555668355
0838,2024,845,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.5998488948689209
0838,2025,848,3.0,0.003537735849056604,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.6019785359157929
0839,2021,358,0.0,0.0,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,0.0,0.0,0.0,0.0,6.540437441994723
0839,2022,373,0.0,0.0,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,0.0,0.0,0.0,0.0,6.814478116938637
0839,2023,371,0.0,0.0,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,0.0,0.0,0.0,0.0,6.777939360279448
0839,2024,347,0.0,0.0,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,0.0,0.0,0.0,0.0,6.3394742803691875
0839,2025,357,3.0,0.008403361344537815,701031034,Virginia,Northern Territory,Litchfield,Darwin,Greater Darwin,54.7364,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2153.0,41,0.09562841530054644,1098,0.0,0.0,0.0,0.0,6.522168063665129
0840,2021,422,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.012748988462174505
0840,2022,430,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.012990675447239424
0840,2023,447,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.013504260290502378
0840,2024,452,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.013655314656167953
0840,2025,462,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.013957423387499102
0841,2021,596,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.4230886879785525
0841,2022,624,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.442965337749357
0841,2023,639,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.45361354298371653
0841,2024,662,0.0,0.0,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.4699407910097345
0841,2025,641,3.0,0.0046801872074883,701031035,Weddell,Northern Territory,Litchfield,Darwin,Greater Darwin,1408.6881,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1969.0,40,0.002288329519450801,1311,0.0,0.0,0.0,0.0,0.45503330368163114
0845,2021,432,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.013051097193505654
0845,2022,392,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.011842662268181056
0845,2023,385,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.011631186156249251
0845,2024,375,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.011329077424918102
